Country,EducationLevel,YearsOfExperience,Salary
Other,Bachelor's degree,2.0,10984.0
France,Upper than Master's degree,6.0,161109.0
Denmark,Master's degree,12.0,116642.0
United States of America,Upper than Master's degree,18.0,120000.0
United States of America,Bachelor's degree,8.0,74000.0
France,Bachelor's degree,8.0,60147.0
Spain,Less than Bachelor's degree,15.0,75184.0
United States of America,Bachelor's degree,5.0,62400.0
United States of America,Less than Bachelor's degree,10.0,122720.0
United States of America,Bachelor's degree,3.0,119000.0
United States of America,Less than Bachelor's degree,29.0,75000.0
Canada,Less than Bachelor's degree,28.0,116309.0
United States of America,Less than Bachelor's degree,26.0,105000.0
Other,Less than Bachelor's degree,10.0,25000.0
Ukraine,Less than Bachelor's degree,3.0,40800.0
United States of America,Bachelor's degree,5.0,105000.0
Finland,Master's degree,26.0,67666.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,30.0,63694.0
Germany,Less than Bachelor's degree,10.0,66592.0
Romania,Bachelor's degree,6.0,79836.0
United States of America,Less than Bachelor's degree,30.0,155000.0
Mexico,Bachelor's degree,4.0,32345.0
United States of America,Master's degree,27.0,145000.0
Mexico,Bachelor's degree,3.0,32238.0
Poland,Master's degree,12.0,57907.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,0.0,50955.0
Turkey,Master's degree,12.0,92741.0
Indonesia,Bachelor's degree,16.0,42932.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,7.0,80923.0
Canada,Bachelor's degree,3.0,145386.0
Germany,Bachelor's degree,12.0,86247.0
Argentina,Bachelor's degree,1.0,15519.0
South Africa,Less than Bachelor's degree,23.0,118379.0
United States of America,Bachelor's degree,5.0,78000.0
Poland,Less than Bachelor's degree,0.0,14254.0
Canada,Less than Bachelor's degree,0.0,66529.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,21.0,127388.0
Other,Less than Bachelor's degree,12.0,51991.0
Brazil,Upper than Master's degree,5.0,27973.0
United States of America,Bachelor's degree,8.0,70000.0
Canada,Bachelor's degree,13.0,101043.0
United States of America,Bachelor's degree,11.0,132000.0
Other,Bachelor's degree,6.0,53703.0
United States of America,Less than Bachelor's degree,25.0,156000.0
Netherlands,Master's degree,12.0,96666.0
Pakistan,Bachelor's degree,4.0,15720.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,109554.0
Canada,Less than Bachelor's degree,30.0,87231.0
Canada,Upper than Master's degree,7.0,87231.0
Norway,Master's degree,8.0,84232.0
United States of America,Bachelor's degree,8.0,95000.0
Brazil,Bachelor's degree,19.0,27973.0
Germany,Bachelor's degree,2.0,25777.0
Canada,Master's degree,19.0,76691.0
Canada,Bachelor's degree,10.0,77781.0
United States of America,Upper than Master's degree,7.0,100000.0
Poland,Bachelor's degree,1.0,12175.0
Italy,Less than Bachelor's degree,17.0,48333.0
Germany,Less than Bachelor's degree,15.0,99888.0
Other,Master's degree,10.0,12815.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,2.0,24204.0
Canada,Master's degree,16.0,109039.0
United States of America,Upper than Master's degree,5.0,87000.0
Spain,Master's degree,10.0,88073.0
Hungary,Bachelor's degree,3.0,21523.0
Brazil,Bachelor's degree,10.0,37297.0
Germany,Bachelor's degree,4.0,27926.0
United States of America,Less than Bachelor's degree,12.0,90000.0
United States of America,Master's degree,7.0,190000.0
Ukraine,Bachelor's degree,12.0,74052.0
Poland,Bachelor's degree,13.0,51968.0
Switzerland,Less than Bachelor's degree,27.0,139271.0
Other,Bachelor's degree,1.0,15504.0
Portugal,Less than Bachelor's degree,18.0,85925.0
United States of America,Master's degree,3.0,162000.0
United States of America,Less than Bachelor's degree,8.0,160000.0
Italy,Bachelor's degree,2.0,30074.0
Germany,Bachelor's degree,13.0,62296.0
Brazil,Master's degree,0.0,11935.0
Turkey,Less than Bachelor's degree,1.0,21330.0
Brazil,Less than Bachelor's degree,10.0,18649.0
United States of America,Bachelor's degree,25.0,114254.0
Russian Federation,Less than Bachelor's degree,5.0,20000.0
Spain,Less than Bachelor's degree,1.0,30074.0
United States of America,Upper than Master's degree,6.0,60000.0
Denmark,Master's degree,23.0,122402.0
Germany,Bachelor's degree,0.0,66592.0
Canada,Bachelor's degree,6.0,98135.0
United States of America,Upper than Master's degree,12.0,180000.0
Sweden,Less than Bachelor's degree,2.0,44640.0
Austria,Less than Bachelor's degree,1.0,38666.0
Brazil,Bachelor's degree,6.0,20514.0
United States of America,Master's degree,20.0,66000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,2.0,63694.0
Czech Republic,Master's degree,6.0,78183.0
United States of America,Less than Bachelor's degree,29.0,160000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,25.0,119745.0
United States of America,Less than Bachelor's degree,5.0,135000.0
Canada,Bachelor's degree,4.0,103951.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,6.0,127388.0
Poland,Bachelor's degree,14.0,130000.0
Argentina,Upper than Master's degree,28.0,140000.0
Ukraine,Bachelor's degree,4.0,31200.0
United States of America,Upper than Master's degree,25.0,110000.0
Canada,Bachelor's degree,25.0,98135.0
Other,Bachelor's degree,10.0,81679.0
Poland,Less than Bachelor's degree,1.0,17323.0
United States of America,Bachelor's degree,4.0,112000.0
Brazil,Bachelor's degree,5.0,19245.0
India,Bachelor's degree,8.0,65799.0
Canada,Bachelor's degree,5.0,50885.0
France,Bachelor's degree,4.0,46185.0
Other,Master's degree,7.0,81528.0
Switzerland,Less than Bachelor's degree,4.0,128887.0
Germany,Bachelor's degree,20.0,86999.0
United States of America,Master's degree,5.0,18500.0
Canada,Bachelor's degree,25.0,107149.0
Other,Upper than Master's degree,13.0,151984.0
Romania,Less than Bachelor's degree,2.0,16183.0
France,Master's degree,20.0,68740.0
Spain,Master's degree,5.0,32222.0
United States of America,Less than Bachelor's degree,28.0,182000.0
United States of America,Master's degree,6.0,112000.0
Netherlands,Less than Bachelor's degree,2.0,12889.0
Germany,Upper than Master's degree,11.0,59073.0
Canada,Bachelor's degree,20.0,83597.0
Russian Federation,Less than Bachelor's degree,5.0,44818.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,17.0,121018.0
United States of America,Master's degree,5.0,72000.0
Germany,Bachelor's degree,4.0,63370.0
United States of America,Upper than Master's degree,11.0,60000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,12.0,162420.0
Netherlands,Bachelor's degree,15.0,86784.0
Other,Bachelor's degree,15.0,38666.0
France,Upper than Master's degree,20.0,133700.0
Germany,Master's degree,21.0,75184.0
Czech Republic,Less than Bachelor's degree,25.0,156366.0
United States of America,Less than Bachelor's degree,0.0,30000.0
Finland,Less than Bachelor's degree,0.0,30933.0
United States of America,Master's degree,18.0,140832.0
Italy,Bachelor's degree,9.0,67666.0
Sweden,Less than Bachelor's degree,23.0,66769.0
Brazil,Less than Bachelor's degree,11.0,82000.0
Germany,Upper than Master's degree,7.0,128887.0
United States of America,Bachelor's degree,27.0,105000.0
United States of America,Master's degree,18.0,121859.0
Canada,Less than Bachelor's degree,2.0,33439.0
Belgium,Master's degree,10.0,161109.0
"Iran, Islamic Republic of...",Less than Bachelor's degree,10.0,10741.0
Hungary,Master's degree,19.0,97831.0
Colombia,Less than Bachelor's degree,2.0,16906.0
Ireland,Master's degree,5.0,161109.0
United States of America,Less than Bachelor's degree,16.0,140000.0
Mexico,Bachelor's degree,2.0,10944.0
Finland,Less than Bachelor's degree,0.0,75184.0
United States of America,Master's degree,10.0,98000.0
Belgium,Master's degree,30.0,64444.0
United States of America,Less than Bachelor's degree,7.0,125000.0
Israel,Bachelor's degree,18.0,139239.0
Netherlands,Bachelor's degree,12.0,67021.0
Sweden,Bachelor's degree,2.0,50554.0
Canada,Bachelor's degree,8.0,80835.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,14.0,140127.0
Other,Bachelor's degree,5.0,22096.0
Germany,Less than Bachelor's degree,2.0,53703.0
Switzerland,Bachelor's degree,6.0,100275.0
Spain,Bachelor's degree,7.0,51555.0
Ukraine,Upper than Master's degree,8.0,60000.0
Argentina,Less than Bachelor's degree,12.0,27713.0
United States of America,Bachelor's degree,11.0,99732.0
Belgium,Master's degree,19.0,112777.0
United States of America,Bachelor's degree,2.0,67000.0
Canada,Bachelor's degree,2.0,46887.0
Portugal,Less than Bachelor's degree,14.0,84851.0
Other,Master's degree,7.0,38666.0
Italy,Less than Bachelor's degree,2.0,15574.0
United States of America,Bachelor's degree,10.0,45000.0
Mexico,Bachelor's degree,17.0,87979.0
Germany,Bachelor's degree,7.0,79481.0
Mexico,Bachelor's degree,10.0,70082.0
Poland,Bachelor's degree,11.0,90325.0
United States of America,Less than Bachelor's degree,23.0,145000.0
Germany,Bachelor's degree,4.0,26852.0
Brazil,Master's degree,2.0,68068.0
Germany,Master's degree,8.0,107406.0
United States of America,Less than Bachelor's degree,2.0,43680.0
Canada,Upper than Master's degree,1.0,49068.0
Germany,Bachelor's degree,10.0,88073.0
Poland,Bachelor's degree,11.0,145500.0
France,Bachelor's degree,2.0,21481.0
Brazil,Less than Bachelor's degree,10.0,76433.0
Sweden,Less than Bachelor's degree,13.0,55323.0
United States of America,Bachelor's degree,27.0,135000.0
Italy,Master's degree,11.0,49407.0
Brazil,Bachelor's degree,4.0,11189.0
Israel,Master's degree,15.0,175397.0
Canada,Less than Bachelor's degree,17.0,79235.0
Brazil,Bachelor's degree,3.0,19022.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,6.0,114649.0
United States of America,Bachelor's degree,3.0,72000.0
Finland,Master's degree,7.0,64444.0
France,Bachelor's degree,8.0,40814.0
Austria,Less than Bachelor's degree,14.0,91295.0
France,Master's degree,9.0,88073.0
Switzerland,Bachelor's degree,14.0,155984.0
Brazil,Less than Bachelor's degree,24.0,48000.0
Turkey,Master's degree,15.0,38400.0
Germany,Master's degree,0.0,96666.0
Spain,Master's degree,20.0,102036.0
United States of America,Upper than Master's degree,1.0,90000.0
Germany,Master's degree,11.0,74110.0
United States of America,Less than Bachelor's degree,15.0,95000.0
United States of America,Master's degree,30.0,103000.0
Israel,Bachelor's degree,4.0,97143.0
France,Master's degree,10.0,70888.0
Ireland,Bachelor's degree,14.0,171850.0
United States of America,Master's degree,0.0,129000.0
United States of America,Upper than Master's degree,26.0,164000.0
Brazil,Bachelor's degree,14.0,26854.0
New Zealand,Upper than Master's degree,3.0,60227.0
Finland,Bachelor's degree,0.0,32312.0
United States of America,Bachelor's degree,20.0,168000.0
Poland,Less than Bachelor's degree,0.0,12056.0
Germany,Master's degree,24.0,51555.0
Israel,Bachelor's degree,8.0,48572.0
Germany,Less than Bachelor's degree,12.0,85925.0
Australia,Less than Bachelor's degree,15.0,52853.0
United States of America,Bachelor's degree,4.0,160000.0
Austria,Bachelor's degree,7.0,42962.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,6.0,107006.0
Canada,Bachelor's degree,13.0,101770.0
Canada,Bachelor's degree,8.0,159924.0
Brazil,Bachelor's degree,2.0,27973.0
Russian Federation,Less than Bachelor's degree,2.0,26891.0
Brazil,Less than Bachelor's degree,3.0,15665.0
France,Less than Bachelor's degree,2.0,118147.0
Canada,Less than Bachelor's degree,10.0,43616.0
Brazil,Bachelor's degree,3.0,27973.0
United States of America,Less than Bachelor's degree,4.0,65000.0
United States of America,Upper than Master's degree,16.0,175000.0
Norway,Master's degree,4.0,76745.0
Brazil,Bachelor's degree,6.0,35433.0
United States of America,Bachelor's degree,2.0,69000.0
United States of America,Less than Bachelor's degree,4.0,30000.0
Australia,Master's degree,3.0,81922.0
United States of America,Bachelor's degree,0.0,58000.0
Germany,Master's degree,10.0,94517.0
United States of America,Master's degree,1.0,60000.0
New Zealand,Bachelor's degree,20.0,107549.0
United States of America,Bachelor's degree,11.0,133000.0
Other,Bachelor's degree,6.0,37592.0
Serbia,Bachelor's degree,11.0,64444.0
Poland,Bachelor's degree,6.0,81168.0
Pakistan,Bachelor's degree,2.0,13000.0
United States of America,Bachelor's degree,0.0,75400.0
United States of America,Bachelor's degree,3.0,167000.0
United States of America,Less than Bachelor's degree,5.0,60000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,3.0,91082.0
Germany,Master's degree,25.0,65518.0
United States of America,Bachelor's degree,10.0,121000.0
New Zealand,Master's degree,5.0,73748.0
Germany,Bachelor's degree,10.0,67666.0
Other,Less than Bachelor's degree,10.0,161109.0
United States of America,Bachelor's degree,10.0,30000.0
Switzerland,Less than Bachelor's degree,3.0,76878.0
Canada,Less than Bachelor's degree,18.0,101770.0
United States of America,Less than Bachelor's degree,22.0,185000.0
Romania,Bachelor's degree,7.0,79491.0
New Zealand,Bachelor's degree,17.0,86654.0
Sweden,Bachelor's degree,10.0,80000.0
New Zealand,Bachelor's degree,28.0,91878.0
Austria,Master's degree,5.0,75184.0
Australia,Less than Bachelor's degree,28.0,116481.0
United States of America,Bachelor's degree,9.0,190000.0
Germany,Less than Bachelor's degree,4.0,43285.0
Canada,Bachelor's degree,1.0,61789.0
"Iran, Islamic Republic of...",Master's degree,3.0,142560.0
United States of America,Bachelor's degree,3.0,98000.0
United States of America,Master's degree,7.0,90000.0
Brazil,Less than Bachelor's degree,12.0,44354.0
United States of America,Bachelor's degree,3.0,97000.0
Mexico,Bachelor's degree,6.0,28033.0
Germany,Less than Bachelor's degree,11.0,76258.0
Germany,Less than Bachelor's degree,1.0,12889.0
Netherlands,Less than Bachelor's degree,20.0,85925.0
Belgium,Bachelor's degree,1.0,38666.0
France,Master's degree,28.0,96666.0
United States of America,Bachelor's degree,0.0,121212.0
Canada,Bachelor's degree,11.0,90866.0
Brazil,Bachelor's degree,14.0,167838.0
Argentina,Less than Bachelor's degree,6.0,65900.0
France,Master's degree,16.0,48333.0
New Zealand,Master's degree,15.0,104476.0
Mexico,Bachelor's degree,4.0,31806.0
Australia,Bachelor's degree,1.0,46246.0
United States of America,Less than Bachelor's degree,30.0,140000.0
Netherlands,Upper than Master's degree,28.0,193331.0
Nigeria,Master's degree,21.0,80000.0
France,Upper than Master's degree,2.0,30074.0
United States of America,Bachelor's degree,20.0,80000.0
Other,Master's degree,11.0,36210.0
New Zealand,Master's degree,4.0,53467.0
Germany,Master's degree,8.0,69277.0
Netherlands,Less than Bachelor's degree,5.0,96666.0
Canada,Bachelor's degree,10.0,177371.0
Italy,Bachelor's degree,8.0,48333.0
Canada,Bachelor's degree,2.0,52598.0
Spain,Less than Bachelor's degree,3.0,53703.0
United States of America,Bachelor's degree,6.0,118000.0
Finland,Less than Bachelor's degree,2.0,58085.0
Romania,Bachelor's degree,1.0,43155.0
United States of America,Master's degree,17.0,110000.0
United States of America,Master's degree,1.0,130000.0
United States of America,Less than Bachelor's degree,10.0,110000.0
Serbia,Less than Bachelor's degree,8.0,48000.0
Australia,Bachelor's degree,10.0,113964.0
United States of America,Bachelor's degree,11.0,126000.0
United States of America,Master's degree,5.0,95000.0
Viet Nam,Less than Bachelor's degree,10.0,22010.0
Turkey,Less than Bachelor's degree,20.0,61827.0
Germany,Bachelor's degree,3.0,107406.0
United States of America,Bachelor's degree,0.0,44460.0
United States of America,Bachelor's degree,5.0,110000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,12.0,95541.0
Romania,Bachelor's degree,9.0,77332.0
Turkey,Bachelor's degree,0.0,18548.0
Brazil,Bachelor's degree,6.0,128000.0
Other,Less than Bachelor's degree,10.0,35444.0
United States of America,Upper than Master's degree,27.0,100000.0
India,Bachelor's degree,2.0,71781.0
United States of America,Less than Bachelor's degree,12.0,115000.0
Australia,Less than Bachelor's degree,8.0,47568.0
New Zealand,Master's degree,3.0,56540.0
United States of America,Bachelor's degree,6.0,35336.0
Argentina,Less than Bachelor's degree,10.0,33255.0
Brazil,Bachelor's degree,7.0,85784.0
United States of America,Less than Bachelor's degree,9.0,95000.0
Brazil,Upper than Master's degree,5.0,40001.0
United States of America,Bachelor's degree,26.0,160000.0
Canada,Less than Bachelor's degree,3.0,34893.0
Canada,Less than Bachelor's degree,16.0,109039.0
United States of America,Upper than Master's degree,5.0,140000.0
United States of America,Upper than Master's degree,3.0,90000.0
Canada,Bachelor's degree,22.0,94501.0
Australia,Less than Bachelor's degree,5.0,105706.0
Canada,Master's degree,3.0,79962.0
Other,Master's degree,15.0,63000.0
Australia,Less than Bachelor's degree,2.0,31749.0
New Zealand,Bachelor's degree,12.0,73748.0
Other,Bachelor's degree,2.0,34816.0
Brazil,Less than Bachelor's degree,4.0,16577.0
United States of America,Bachelor's degree,1.0,150000.0
Japan,Bachelor's degree,13.0,28640.0
Australia,Bachelor's degree,2.0,46246.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,6.0,50955.0
United States of America,Less than Bachelor's degree,3.0,40000.0
Canada,Bachelor's degree,2.0,43616.0
Russian Federation,Master's degree,6.0,40336.0
United States of America,Less than Bachelor's degree,19.0,164500.0
United States of America,Bachelor's degree,6.0,168300.0
Colombia,Less than Bachelor's degree,15.0,45420.0
Australia,Bachelor's degree,2.0,77347.0
Canada,Less than Bachelor's degree,2.0,36346.0
China,Bachelor's degree,2.0,37253.0
United States of America,Bachelor's degree,0.0,61000.0
New Zealand,Master's degree,27.0,110622.0
India,Bachelor's degree,2.0,10349.0
Other,Master's degree,19.0,132927.0
Australia,Upper than Master's degree,15.0,70691.0
Australia,Bachelor's degree,10.0,72673.0
Switzerland,Bachelor's degree,19.0,66850.0
Australia,Upper than Master's degree,15.0,109009.0
Italy,Master's degree,30.0,51555.0
Other,Bachelor's degree,27.0,163359.0
Australia,Bachelor's degree,1.0,69369.0
United States of America,Less than Bachelor's degree,16.0,51000.0
Other,Master's degree,16.0,65000.0
Mexico,Master's degree,12.0,51213.0
Netherlands,Bachelor's degree,23.0,128887.0
Australia,Less than Bachelor's degree,15.0,115615.0
United States of America,Less than Bachelor's degree,4.0,156000.0
Japan,Bachelor's degree,10.0,190932.0
Russian Federation,Master's degree,2.0,14566.0
Brazil,Less than Bachelor's degree,2.0,24243.0
Australia,Bachelor's degree,10.0,161862.0
Canada,Master's degree,15.0,145386.0
Norway,Bachelor's degree,6.0,51475.0
Israel,Bachelor's degree,24.0,113334.0
United States of America,Bachelor's degree,25.0,132000.0
Netherlands,Bachelor's degree,6.0,48333.0
Poland,Less than Bachelor's degree,6.0,22272.0
Other,Bachelor's degree,15.0,27247.0
India,Bachelor's degree,9.0,14356.0
United States of America,Bachelor's degree,8.0,165000.0
"Iran, Islamic Republic of...",Master's degree,12.0,131155.0
Other,Bachelor's degree,7.0,73724.0
Australia,Master's degree,10.0,132132.0
United States of America,Master's degree,20.0,175000.0
Other,Master's degree,8.0,18700.0
Indonesia,Less than Bachelor's degree,20.0,60000.0
Austria,Bachelor's degree,5.0,32222.0
Finland,Upper than Master's degree,26.0,104721.0
United States of America,Master's degree,6.0,120000.0
Bulgaria,Bachelor's degree,6.0,26363.0
Australia,Bachelor's degree,1.0,19820.0
Austria,Less than Bachelor's degree,20.0,118147.0
Israel,Less than Bachelor's degree,3.0,42095.0
Australia,Less than Bachelor's degree,25.0,108093.0
"Iran, Islamic Republic of...",Master's degree,2.0,47520.0
Sweden,Less than Bachelor's degree,13.0,85846.0
Japan,Bachelor's degree,9.0,70008.0
Spain,Bachelor's degree,6.0,35444.0
Hungary,Bachelor's degree,2.0,14675.0
Norway,Master's degree,10.0,102950.0
Germany,Master's degree,19.0,75184.0
Norway,Bachelor's degree,25.0,102950.0
Norway,Master's degree,4.0,112309.0
Spain,Upper than Master's degree,3.0,31148.0
Israel,Less than Bachelor's degree,10.0,10794.0
India,Bachelor's degree,21.0,23927.0
Czech Republic,Master's degree,28.0,52122.0
Hungary,Bachelor's degree,20.0,54351.0
Netherlands,Bachelor's degree,20.0,86785.0
New Zealand,Bachelor's degree,10.0,76821.0
Other,Bachelor's degree,5.0,14298.0
Netherlands,Less than Bachelor's degree,12.0,64444.0
Netherlands,Master's degree,10.0,139628.0
Brazil,Master's degree,29.0,33941.0
Netherlands,Less than Bachelor's degree,25.0,85925.0
Other,Bachelor's degree,8.0,66592.0
Australia,Less than Bachelor's degree,25.0,47568.0
South Africa,Bachelor's degree,30.0,72641.0
Sweden,Master's degree,3.0,56448.0
Finland,Less than Bachelor's degree,0.0,32222.0
Hungary,Master's degree,27.0,184793.0
Germany,Master's degree,3.0,67666.0
South Africa,Less than Bachelor's degree,2.0,13092.0
China,Bachelor's degree,4.0,41392.0
Germany,Less than Bachelor's degree,16.0,171850.0
United States of America,Master's degree,9.0,115000.0
Sweden,Bachelor's degree,13.0,74400.0
Czech Republic,Master's degree,12.0,54728.0
Other,Less than Bachelor's degree,0.0,23653.0
Germany,Less than Bachelor's degree,21.0,80555.0
Other,Bachelor's degree,6.0,12500.0
Finland,Less than Bachelor's degree,22.0,64444.0
Norway,Less than Bachelor's degree,8.0,88912.0
Israel,Bachelor's degree,1.0,87429.0
France,Master's degree,8.0,64444.0
Spain,Upper than Master's degree,12.0,42701.0
Denmark,Bachelor's degree,29.0,172802.0
Serbia,Bachelor's degree,18.0,27525.0
Other,Less than Bachelor's degree,5.0,24409.0
Australia,Master's degree,2.0,72673.0
Switzerland,Master's degree,5.0,95819.0
Poland,Master's degree,8.0,53452.0
France,Master's degree,5.0,44037.0
United States of America,Master's degree,5.0,110000.0
Czech Republic,Master's degree,4.0,34748.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,29.0,107006.0
Poland,Less than Bachelor's degree,20.0,81663.0
Japan,Less than Bachelor's degree,6.0,31822.0
Greece,Bachelor's degree,4.0,37592.0
Brazil,Master's degree,22.0,190000.0
Italy,Master's degree,2.0,30074.0
Other,Less than Bachelor's degree,2.0,28149.0
Germany,Less than Bachelor's degree,15.0,113851.0
Austria,Less than Bachelor's degree,4.0,61651.0
Norway,Bachelor's degree,9.0,93591.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,30.0,82802.0
Denmark,Less than Bachelor's degree,10.0,87841.0
India,Master's degree,12.0,64603.0
France,Master's degree,2.0,51555.0
Switzerland,Less than Bachelor's degree,5.0,133700.0
Other,Master's degree,7.0,60147.0
Other,Master's degree,9.0,59073.0
Switzerland,Master's degree,7.0,111417.0
Sweden,Bachelor's degree,29.0,85846.0
Italy,Less than Bachelor's degree,2.0,20407.0
Czech Republic,Less than Bachelor's degree,10.0,54777.0
Romania,Bachelor's degree,13.0,77332.0
Austria,Bachelor's degree,22.0,96666.0
Germany,Bachelor's degree,8.0,68310.0
Netherlands,Bachelor's degree,0.0,59073.0
Sweden,Bachelor's degree,8.0,114649.0
Netherlands,Master's degree,6.0,83777.0
Germany,Upper than Master's degree,2.0,75184.0
Japan,Upper than Master's degree,15.0,70008.0
Finland,Bachelor's degree,2.0,38666.0
Czech Republic,Bachelor's degree,12.0,89147.0
France,Master's degree,26.0,55851.0
Other,Master's degree,6.0,130000.0
South Africa,Bachelor's degree,7.0,44769.0
Austria,Master's degree,10.0,112777.0
Israel,Master's degree,7.0,134921.0
Norway,Master's degree,29.0,74873.0
Other,Bachelor's degree,7.0,61958.0
Switzerland,Master's degree,15.0,102504.0
Germany,Less than Bachelor's degree,13.0,53703.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,23.0,114649.0
India,Bachelor's degree,7.0,40676.0
Switzerland,Upper than Master's degree,27.0,161554.0
Other,Bachelor's degree,5.0,53328.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,26.0,105732.0
France,Upper than Master's degree,10.0,57999.0
Greece,Bachelor's degree,5.0,25563.0
Austria,Master's degree,9.0,118147.0
Colombia,Less than Bachelor's degree,10.0,51173.0
Denmark,Upper than Master's degree,15.0,105410.0
Other,Bachelor's degree,18.0,91295.0
Czech Republic,Bachelor's degree,16.0,45607.0
Germany,Less than Bachelor's degree,11.0,75184.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,39721.0
Greece,Less than Bachelor's degree,1.0,17991.0
Sweden,Less than Bachelor's degree,28.0,72110.0
Sweden,Master's degree,21.0,74400.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,20.0,77707.0
Australia,Bachelor's degree,15.0,76637.0
Germany,Less than Bachelor's degree,3.0,13791.0
Pakistan,Bachelor's degree,2.0,60000.0
Taiwan,Master's degree,4.0,54047.0
Netherlands,Bachelor's degree,5.0,83777.0
Germany,Less than Bachelor's degree,6.0,79481.0
Finland,Bachelor's degree,2.0,64444.0
Australia,Bachelor's degree,19.0,148648.0
France,Master's degree,5.0,50481.0
Switzerland,Less than Bachelor's degree,3.0,20055.0
Denmark,Master's degree,9.0,86401.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,43312.0
Israel,Bachelor's degree,10.0,188890.0
Germany,Less than Bachelor's degree,19.0,101617.0
France,Master's degree,2.0,44037.0
Germany,Master's degree,2.0,38666.0
Spain,Less than Bachelor's degree,25.0,62296.0
Japan,Bachelor's degree,4.0,50915.0
Ukraine,Bachelor's degree,5.0,62500.0
Germany,Master's degree,7.0,86999.0
Spain,Bachelor's degree,10.0,110000.0
Sweden,Less than Bachelor's degree,6.0,33384.0
Taiwan,Bachelor's degree,5.0,19889.0
Spain,Master's degree,2.0,26852.0
Turkey,Bachelor's degree,12.0,51935.0
Belgium,Master's degree,25.0,80555.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,20.0,54777.0
Bulgaria,Less than Bachelor's degree,7.0,46684.0
Germany,Master's degree,9.0,86999.0
India,Bachelor's degree,3.0,35890.0
Sweden,Master's degree,1.0,36914.0
Romania,Bachelor's degree,16.0,88035.0
Taiwan,Master's degree,1.0,17913.0
Bangladesh,Bachelor's degree,3.0,12152.0
India,Master's degree,4.0,47854.0
Netherlands,Bachelor's degree,2.0,44037.0
Portugal,Upper than Master's degree,7.0,32222.0
Italy,Master's degree,5.0,40814.0
Other,Less than Bachelor's degree,2.0,19849.0
Sweden,Less than Bachelor's degree,1.0,45784.0
Poland,Bachelor's degree,2.0,41574.0
Australia,Bachelor's degree,27.0,112312.0
Other,Bachelor's degree,10.0,75184.0
Italy,Master's degree,15.0,34370.0
Spain,Less than Bachelor's degree,3.0,32759.0
Sweden,Bachelor's degree,2.0,45478.0
Italy,Master's degree,2.0,20944.0
Norway,Master's degree,2.0,74873.0
Germany,Bachelor's degree,10.0,60147.0
Ukraine,Master's degree,8.0,63720.0
Australia,Less than Bachelor's degree,9.0,105706.0
Spain,Bachelor's degree,1.0,32222.0
Sweden,Less than Bachelor's degree,12.0,62000.0
Czech Republic,Master's degree,12.0,108587.0
Austria,Bachelor's degree,16.0,69814.0
Czech Republic,Master's degree,20.0,47778.0
Germany,Less than Bachelor's degree,19.0,38666.0
France,Master's degree,0.0,18044.0
Germany,Bachelor's degree,14.0,64444.0
Spain,Master's degree,5.0,65518.0
Romania,Bachelor's degree,6.0,37760.0
Indonesia,Less than Bachelor's degree,3.0,36000.0
Other,Master's degree,1.0,15600.0
United States of America,Bachelor's degree,2.0,114000.0
Netherlands,Master's degree,20.0,123517.0
Germany,Bachelor's degree,9.0,88073.0
Russian Federation,Bachelor's degree,3.0,24650.0
Germany,Master's degree,6.0,82703.0
Poland,Less than Bachelor's degree,1.0,14353.0
Romania,Bachelor's degree,19.0,53943.0
Germany,Bachelor's degree,2.0,21481.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,12.0,145222.0
Sweden,Less than Bachelor's degree,12.0,61046.0
Austria,Bachelor's degree,8.0,80555.0
Switzerland,Upper than Master's degree,5.0,155984.0
Switzerland,Bachelor's degree,5.0,155984.0
Belgium,Master's degree,14.0,91295.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,70063.0
Norway,Bachelor's degree,7.0,80488.0
